album_id,title,artist_id,album_type,release_year,release_date,track_count,label,upc,spotify_id,musicbrainz_id,source_dataset
00yTqwPxJaPcjZeAwvW7is,We Will Recover,artist:6e15fd2f-519f-2cd6-8750-d3d46858da74,album,2014,,1,,,00yTqwPxJaPcjZeAwvW7is,,tidy_tuesday_dbcl
00zPgHqu8TmPJA47iQY8gs,Runnin' (Dying To Live),artist:0f82983e-3dd5-2ca5-5e7d-21966d437014,album,2003,,1,,,00zPgHqu8TmPJA47iQY8gs,,tidy_tuesday_dbcl
011iiGYooEuNN0c4770O6q,Bitch Lasagna,artist:c83e9868-1411-8cb3-4e3b-df0bbd12ab55,album,2018,,1,,,011iiGYooEuNN0c4770O6q,,tidy_tuesday_dbcl
011s8kJjxflUbOSvArwjRY,Iwoak,artist:f713bb7d-c56b-da2a-87ae-0d87d0b7cdb1,album,2018,,1,,,011s8kJjxflUbOSvArwjRY,,tidy_tuesday_dbcl
0158q1gcMUvS6PFPYkxpTe,Una vez más,artist:2937b467-3e4e-4dec-ec2b-a6cedd7230f0,album,2018,,1,,,0158q1gcMUvS6PFPYkxpTe,,tidy_tuesday_dbcl
017W32dwhj2rGVWkZkwVSu,Cluster EP,artist:a0cc8da2-1ba3-3496-e81e-576d477a1f7f,album,2017,,1,,,017W32dwhj2rGVWkZkwVSu,,tidy_tuesday_dbcl
018E4Cu0mlyMNR1IZcYMx6,Lick It Up (Remastered Version),artist:4188679c-1d8a-284c-cc41-a6b601869e05,album,1983,,1,,,018E4Cu0mlyMNR1IZcYMx6,,tidy_tuesday_dbcl
018XQ1P5cLeJPhIeH4xL4l,Haciendo Escante,artist:afe99ab8-2036-e2c9-6ab0-a164a184dae9,album,2001,,1,,,018XQ1P5cLeJPhIeH4xL4l,,tidy_tuesday_dbcl
01ChjoiBlN7bBmsvrzuzlo,Love Is Not Sex,artist:400ce9e5-1ecd-d337-f018-5b244342ee18,album,1993,,1,,,01ChjoiBlN7bBmsvrzuzlo,,tidy_tuesday_dbcl
01DU4Brb6WmObvkqdsVWiN,Indestructible,artist:6b818a3a-6bf1-234e-d24c-940021922b63,album,2015,,3,,,01DU4Brb6WmObvkqdsVWiN,,tidy_tuesday_dbcl
01FqJwpa24Vfb8DI6sZI6B,Pronounced Jah-Nay,artist:31237d35-c61d-f3d3-cdcf-52e4ccab55fd,album,1994,,2,,,01FqJwpa24Vfb8DI6sZI6B,,tidy_tuesday_dbcl
01GXagELExsfYmrdJ2kgh7,Easy on Me,artist:8e652d80-e38f-36ea-08eb-0f7e672147f0,album,2019,,1,,,01GXagELExsfYmrdJ2kgh7,,tidy_tuesday_dbcl
01IEzYjpPJfU8P7uTPiHmx,Magenta Riddim,artist:68b2213e-b9a1-78fa-378e-a6b1de4145ad,album,2018,,1,,,01IEzYjpPJfU8P7uTPiHmx,,tidy_tuesday_dbcl
01IaGgpoFhPrIKPE3fAbps,Recognise,artist:7f6766dd-b9d2-8683-154c-7046e3c1fbbe,album,2019,,1,,,01IaGgpoFhPrIKPE3fAbps,,tidy_tuesday_dbcl
01NWxx8CkzwkHQxGXqR2HB,Sideshow,artist:d71556ea-f304-59e9-ed17-319a841312ba,album,2018,,1,,,01NWxx8CkzwkHQxGXqR2HB,,tidy_tuesday_dbcl
