album_id,title,artist_id,spotify_id
01QZJ5r1vcjiU9GgpGfLIX,Voices Carry,artist:da7def53-ed27-e053-cff2-85508847caae,01QZJ5r1vcjiU9GgpGfLIX
01SDKB7wiuxAQJ51wPV8Aj,Stax Classics,artist:b3b13a2b-07ea-8113-8ee2-b37b9968caf1,01SDKB7wiuxAQJ51wPV8Aj
01SkyAcTlSdHNE6Vm8z6tq,That's Just Me,artist:a83a74c2-f655-6fb1-549e-c46d6947b173,01SkyAcTlSdHNE6Vm8z6tq
01U3A4v42WpUKLrLLG6IlQ,Face to Face,artist:af9571f3-7c6f-5f9a-7927-632010776ba0,01U3A4v42WpUKLrLLG6IlQ
01aNLzRaKJogmxt3hDeII2,Underdog,artist:53e803d1-8476-c797-81a7-925f14af5b81,01aNLzRaKJogmxt3hDeII2
01akT8TopYGRiYtyeN0qTU,Me Enamoré De Ti,artist:70526125-6134-e0ca-50f5-d4ccdd90aa9b,01akT8TopYGRiYtyeN0qTU
01c1PLpIdfwy47yid7GqKB,Head To The Sky,artist:a91d7d06-0c21-65b5-e575-5b706ed9e143,01c1PLpIdfwy47yid7GqKB
01cD5X3u8Iv4gWFHmrWYfK,Dome,artist:985ee75d-368d-2718-c09f-84048299f769,01cD5X3u8Iv4gWFHmrWYfK
01dJRWQe9M8Hr1hTrMelz8,Unbroken (feat. Gia Koka),artist:f81858b2-e07d-6bc5-8801-ffd55ef10382,01dJRWQe9M8Hr1hTrMelz8
01dkVTJhjXbhGCW4VUelmq,Suavemente,artist:a80377e0-3993-1651-76fb-184d7b796044,01dkVTJhjXbhGCW4VUelmq
01droebOkIprq7RktcmMjs,II,artist:e15a18a4-4c61-d44e-2d7c-c2846f454315,01droebOkIprq7RktcmMjs
01ebUKWh4BL9IENdRlacII,EL OG,artist:c42a7d08-1654-a8db-a3b0-77653800d63e,01ebUKWh4BL9IENdRlacII
01fWUTXKGnFAsm0v4qWZwD,The Anthology,artist:edb3caab-5a32-03f4-63be-d4309441c4f2,01fWUTXKGnFAsm0v4qWZwD
01ggQGlQ4i7SksCQ2fgLwn,Malibu (Tiësto Remix),artist:5abffb37-857a-2f03-c7b6-0ac7ac792a42,01ggQGlQ4i7SksCQ2fgLwn
01hkRLtMJmQX2vjvT02T1c,Armageddon,artist:bbc9cf60-739f-001d-1e4f-553caf86a6e1,01hkRLtMJmQX2vjvT02T1c
01hp4DvayKlnqUQrmk0vvz,A Fever You Can't Sweat Out,artist:dcedddd6-e1a0-d487-0abf-555f938d9c10,01hp4DvayKlnqUQrmk0vvz
01iw3ZO4AQKvvIjXq5wPEL,Wild One - The Very Best Of Thin Lizzy (Remastered Version),artist:4d56b83d-690b-7929-36ac-ade516ff511b,01iw3ZO4AQKvvIjXq5wPEL
01jdXmJaiRf52DRqTExXhY,25,artist:372c2c6f-7ed4-f0b4-75a3-31b9e6fd18c2,01jdXmJaiRf52DRqTExXhY
01lCYPIxn1R8RZlcXzF5Mf,R&B Christmas Volume 1,artist:40b8e74d-c062-ddb7-978f-ba08fb787f3f,01lCYPIxn1R8RZlcXzF5Mf
01mXRaNPZE3zowFECJtngj,Bitch Better Have My Money (R3hab Remix),artist:0588499a-7fad-c0d7-4996-e5c65a6624c3,01mXRaNPZE3zowFECJtngj
01nV3KuocS1NJHTsJbPkTO,Una Vaina Loca,artist:8f6f4e80-72f8-e89f-fd21-759cf54218d8,01nV3KuocS1NJHTsJbPkTO
01odf9OctepGIrFnhABvDY,To Be Continued,artist:48a867be-24a6-e663-4771-572d200ea990,01odf9OctepGIrFnhABvDY
01riz9JMpPdL99fYhoZaph,Where I Wanna Be,artist:9ec66d14-01f7-48c8-a504-1d97f65d97a2,01riz9JMpPdL99fYhoZaph
01sfgrNbnnPUEyz6GZYlt9,Dua Lipa (Deluxe),artist:f40312bf-efb2-5034-0360-eada74cb64c4,01sfgrNbnnPUEyz6GZYlt9
01uabHpYa9AA55wc6AwRQL,In Colour,artist:aba7774d-c264-b257-1e36-06afe669c5a0,01uabHpYa9AA55wc6AwRQL
01wwlmULNFwk6YZ8riFRfL,Gold Skies (Remixes),artist:6708c580-ed7e-abf1-24c6-5af15952a198,01wwlmULNFwk6YZ8riFRfL
01yYW0rRRwlEZx1dMmc5ff,Para Aventuras y Curiosidades,artist:f48d78ff-b354-2aaf-72f8-283cd7791243,01yYW0rRRwlEZx1dMmc5ff
